url;paperurl;org;per;loc
http://www.bbc.co.uk/news/uk-england-london-22350772;http://www.bbc.co.uk/news/;"BBC News;BBC;Victoria 039;s Secret;Magistrates Court;CPS London;Metropolitan Police;BBC;Civil Aviation Authority;Time Out;London;RAF Northolt;Ministry of Defence;Transport;Harlequins England;Lions;Lions;N-Dubz;Court of Appeal;Westminster Council;BBC;Conservative Party;Tory;Lions;London Assembly;State TV A;BBC Local Live;Civil Aviation Authority;Thames Water;Met Police 039;s;RAF;BBC London;Imperial College;BBC;Queens Park Rangers;ABC News;BBC London;West End Commission;Tube;Transport for London;Camden Council;Westminster Council;BBC Local Live;BBC;BBC";"Naomi Oni;Naomi Oni;Konye;Konye;Lakin;Mary Konye;Naomi Oni;Konye;Oni;Naomi Oni;Mary Konye;Mary Konye;Naomi Oni;Nicolas Ritter;Robert Elms;Edward Adoo;Thea Gilmore;Tom Edwards;Jason Leonard;Chris Robshaw;Dappy;Costadinos Contostavlos;Contostavlos;Ken Livingstone;Grant Shapps;Ken Livingstone;Jason Leonard;Ken Livingstone;James Cleverly;Ken Livingstone;Derek Boateng;Edith Mears;Elveden;Karren Brady;Ayshea Buksh;Ben Drew;Chris Grayling;Stephen Lawrence;Crimewatch;Harry Redknapp;Amanda Knox;Meredith Kercher;Miss Knox;Nikki Bedi;Vanessa Feltz;Andrew Gilligan";"Dagenham;Stratford;Throckmorton;Canning Town;Redbridge;Dagenham;Netherlands;London;London;Dagenham;London 039;s;Dagenham;London;London;London;London;England;London;London;London;Boston;Boston;London;US;Boston;US;Boston;West;America;London;Coventry;Bishopsgate Police Station;London;Old Bailey;Highbury;London;London;Aldwych;London;Kennington Park;Heathrow;Gatwick;Stansted;Londoners A;London;Tower Hamlets;Crayford;London;Aldwych;West Ham;Northolt;East London;London;London;London;Metropolitan Line;Aldgate;Harrow-On-The-Hill;Neasden;Italy;Wandsworth;West End;London;Barking;Dagenham;Gales St Dagenham;Gale Street;Goresbrook;Netherlands;London;Esher Common;Hook Junction;Notting Hill;Notting Hill Gate;London Underground;London;UK"
http://www.bbc.co.uk/news/uk-wales-22294592;http://www.bbc.co.uk/news/;"BBC News;BBC;Mold;Court;BBC;BBC";"Melanie Smith;Melanie Smith;Lee-Anna Shiers;Bailey;Skye;Liam Timbrell;Charlie;April Jones";"Prestatyn;Denbighshire The;Crown;UK"
http://www.bbc.co.uk/news/uk-wales-north-east-wales-21789828;http://www.bbc.co.uk/news/;"BBC News;BBC;Alder Hey Children 039;s Hospital;BBC;BBC";"Prestatyn;Steve Allen&#039;s;Bailey;Skye;Lee-Anna Shiers;Liam Timbrell;Charlie;Melanie Smith;Allen;Bailey;Skye;Lee-Anna&#039;s;Liam;Allen;Allen;Liam;Timbrell;Allen.&quot;And;Allen;Lee-Anna;Bailey;Skye;Allen;Skye;Bailey;Allen;Lee-Anna;Charlie;Charlie&#039;s;Liam Timbrell;Allen;Jonty";"Denbighshire;Mold Crown Court Mr;Liverpool;UK"
http://www.bbc.co.uk/news/uk-england-essex-22354227;http://www.bbc.co.uk/news/;"BBC News;BBC;Down;BBC;BBC;BBC";"Down Hall;Komba Kpakiwa;Josephine Newahun;Komba Kpakiwa;Josephine Newahun Foday;Foday;Komba";"Erith;Kent;London;Hall Country House;Hatfield Heath;Chelmsford;UK"
http://www.bbc.co.uk/news/entertainment-arts-22338887;http://www.bbc.co.uk/news/;"BBC News;BBC;BBC Breakfast;BBC";"Kara Tointon;Tointon;Dawn Swann;Alan Ayckbourn&#039;s";
http://www.bbc.co.uk/news/uk-wales-22309830;http://www.bbc.co.uk/news/;"BBC News;BBC;BBC";"Joy Shiers;Shiers;Shiers;Charlie;Bailey;Skye;Liam Timbrell;Smith";"Prestatyn;Denbighshire;Mold Crown Court"
http://www.bbc.co.uk/news/world-us-canada-22356101;http://www.bbc.co.uk/news/;"BBC News;BBC;BBC";"Obama;Obama";"US;White House"
http://www.bbc.co.uk/news/world-asia-22357355;http://www.bbc.co.uk/news/;"BBC News;BBC;BBC 039;s;BBC;BBC;Primark;Loblaw;BBC";"Mohammed Sohel Rana;Rana&#039;s;Rana&#039;s;Anbarasan Ethirajan;Dali Akther;Muhiuddin Khan Alamgir;Willem-Alexander";"Dhaka;Rana Plaza;Dhaka;Savar;Dhaka;Savar Fearing;UK 039;s;Canada 039;s;US;South Korea;North Korea How;UK;Dhaka;Netherlands 039"
http://www.bbc.co.uk/news/uk-northern-ireland-22346671;http://www.bbc.co.uk/news/;"BBC News;BBC;IRA;IFA;Football Association;Northern;Assembly The;Alliance;BBC";"Martin McGuinness;McGuinness;Chris Lyttle;McGuinness";Ireland
http://www.bbc.co.uk/sport/0/horse-racing/22356082;http://www.bbc.co.uk/news/;"BBC Sport;Godolphin;BHA;BBC;BHA;Godolphin;BHA;Godolphin 039;s;Godolphin;BHA;Godolphin 039;s;Zarooni 039;s;BHA;BHA;BBC";"Mahmood Al Zarooni;Dick Francis;Mohammed;Francis;Mohammed bin Rashid Al Maktoum;Al Zarooni;Zarooni&#039;s;Al Zarooni;Al Zarooni;Blue Bunting;Frankie Dettori;Al;Lynn Hillyer;Al Zarooni;Al Zarooni;Al Zarooni";"Britain;Moulton Paddock;Newmarket;Dubai;Dubai;Australia;UK;UK-based;Moulton Paddocks;Newmarket;Newmarket;UK;Dubai;Newmarket"
